timestamp,Open,High,Low,Close,Volume
2024-07-30 17:15:00,18753.35,18783.47,18741.83,18783.47,1507
2024-07-30 17:30:00,18782.58,18816.87,18763.52,18814.83,1409
2024-07-30 17:45:00,18814.99,18824.97,18797.59,18812.73,1287
2024-07-30 18:00:00,18811.83,18840.53,18798.49,18831.04,1171
2024-07-30 18:15:00,18831.98,18874.1,18828.87,18846.76,1208
2024-07-30 18:30:00,18845.8,18866.24,18833.36,18856.59,1264
2024-07-30 18:45:00,18856.49,18859.2,18809.08,18826.1,1452
2024-07-30 19:00:00,18827.12,18827.12,18784.27,18788.9,1303
2024-07-30 19:15:00,18787.99,18826.24,18787.01,18811.36,1296
2024-07-30 19:30:00,18810.39,18820.76,18779.38,18820.76,1415
2024-07-30 19:45:00,18821.89,18890.97,18803.36,18813.2,2314
2024-07-30 20:00:00,18817.44,18828.46,18600.97,18674.2,3636
2024-07-30 20:15:00,18673.03,18723.95,18664.83,18715.58,1488
2024-07-30 20:30:00,18716.71,18773.11,18700.76,18753.39,1034
2024-07-30 20:45:00,18754.34,18773.43,18719.5,18737.13,921
2024-07-30 22:00:00,18749.64,18870.71,18738.37,18848.54,1376
2024-07-30 22:15:00,18848.43,18873.33,18832.36,18834.06,904
2024-07-30 22:30:00,18833.39,18859.98,18833.39,18849.68,701
2024-07-30 22:45:00,18850.25,18852.06,18839.06,18846.74,526
2024-07-30 23:00:00,18847.04,18873.11,18843.29,18872.13,533
2024-07-30 23:15:00,18872.08,18901.46,18870.64,18894.99,658
2024-07-30 23:30:00,18895.03,18907.21,18894.25,18906.94,469
2024-07-30 23:45:00,18907.58,18940.44,18896.41,18937.02,661
2024-07-31 00:00:00,18936.01,18951.52,18907.32,18907.32,763
2024-07-31 00:15:00,18907.51,18920.95,18891.91,18919.46,664
2024-07-31 00:30:00,18919.71,18945.37,18916.02,18944.79,646
2024-07-31 00:45:00,18944.49,18956.4,18937.71,18953.68,555
2024-07-31 01:00:00,18953.74,18965.47,18948.41,18950.42,591
2024-07-31 01:15:00,18950.53,18955.62,18937.2,18948.61,554
2024-07-31 01:30:00,18948.78,18957.97,18933.73,18943.28,783
2024-07-31 01:45:00,18943.02,18955.74,18936.47,18954.21,627
2024-07-31 02:00:00,18954.28,18972.46,18952.3,18966.77,617
2024-07-31 02:15:00,18967.26,18995.86,18967.03,18991.32,575
2024-07-31 02:30:00,18991.48,18995.96,18981.72,18981.72,477
2024-07-31 02:45:00,18981.97,18987.23,18980.65,18983.45,352
2024-07-31 03:00:00,18983.55,18989.12,18973.86,18980.68,370
2024-07-31 03:15:00,18980.66,18984.96,18971.91,18974.7,292
2024-07-31 03:30:00,18974.89,18982.21,18974.11,18980.95,282
2024-07-31 03:45:00,18981.7,19015.33,18971.7,19013.19,437
2024-07-31 04:00:00,19012.03,19023.0,18973.22,18977.41,829
2024-07-31 04:15:00,18977.7,18991.87,18971.5,18975.7,688
2024-07-31 04:30:00,18975.51,18989.64,18972.45,18986.62,447
2024-07-31 04:45:00,18986.64,18992.68,18971.48,18982.74,622
2024-07-31 05:00:00,18983.22,18983.26,18972.3,18980.17,539
2024-07-31 05:15:00,18980.13,18993.73,18972.94,18990.17,541
2024-07-31 05:30:00,18990.41,19069.24,18990.41,19064.41,831
2024-07-31 05:45:00,19065.33,19101.21,19062.23,19093.03,907
2024-07-31 06:00:00,19092.1,19093.29,19043.68,19075.2,1120
2024-07-31 06:15:00,19074.26,19091.79,19072.77,19075.59,741
2024-07-31 06:30:00,19076.46,19100.11,19075.4,19085.96,740
2024-07-31 06:45:00,19085.87,19093.57,19081.51,19089.63,625
2024-07-31 07:00:00,19090.91,19091.9,19056.91,19080.92,885
2024-07-31 07:15:00,19080.2,19097.63,19067.67,19080.47,806
2024-07-31 07:30:00,19080.48,19092.18,19072.53,19087.62,793
2024-07-31 07:45:00,19087.94,19113.33,19084.17,19098.1,780
2024-07-31 08:00:00,19097.28,19100.61,19055.35,19056.02,896
2024-07-31 08:15:00,19055.78,19098.49,19055.75,19088.44,820
2024-07-31 08:30:00,19089.63,19122.99,19089.63,19111.73,788
2024-07-31 08:45:00,19111.83,19116.26,19086.77,19090.91,692
2024-07-31 09:00:00,19091.6,19095.86,19079.6,19090.61,664
2024-07-31 09:15:00,19090.29,19094.99,19074.53,19078.88,690
2024-07-31 09:30:00,19078.69,19106.26,19077.0,19089.38,660
2024-07-31 09:45:00,19089.23,19091.76,19070.5,19077.43,688
2024-07-31 10:00:00,19076.48,19106.6,19074.15,19102.85,644
2024-07-31 10:15:00,19102.84,19105.08,19084.71,19092.66,607
2024-07-31 10:30:00,19092.9,19100.35,19087.98,19092.34,524
2024-07-31 10:45:00,19092.63,19119.48,19086.97,19118.37,587
2024-07-31 11:00:00,19117.38,19117.38,19091.11,19104.89,806
2024-07-31 11:15:00,19105.14,19118.56,19103.22,19107.96,649
2024-07-31 11:30:00,19107.38,19113.47,19095.62,19113.07,677
2024-07-31 11:45:00,19112.89,19137.05,19107.62,19128.72,684
